artist,song,popularity,uri,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,0,clusters
The Whitest Boy Alive,Rollercoaster Ride,0,spotify:track:0EmH4HVAsMSoTjaaDqmkWZ,https://open.spotify.com/track/0EmH4HVAsMSoTjaaDqmkWZ,0.753,0.304,2.0,-9.859,0.0,0.0516,0.592,0.078,0.108,0.377,75.52,audio_features,0EmH4HVAsMSoTjaaDqmkWZ,https://api.spotify.com/v1/tracks/0EmH4HVAsMSoTjaaDqmkWZ,https://api.spotify.com/v1/audio-analysis/0EmH4HVAsMSoTjaaDqmkWZ,159880.0,4.0,,2
Daft Punk,Rollin' & Scratchin',51,spotify:track:6hgBJPTHoDJyxydmtFWHKf,https://open.spotify.com/track/6hgBJPTHoDJyxydmtFWHKf,0.822,0.791,1.0,-4.87,1.0,0.0414,0.00108,0.621,0.0567,0.21,130.059,audio_features,6hgBJPTHoDJyxydmtFWHKf,https://api.spotify.com/v1/tracks/6hgBJPTHoDJyxydmtFWHKf,https://api.spotify.com/v1/audio-analysis/6hgBJPTHoDJyxydmtFWHKf,448627.0,4.0,,8
Daft Punk,Rollin' & Scratchin',28,spotify:track:54SWk8zDQ02dBXvOAmQdPc,https://open.spotify.com/track/54SWk8zDQ02dBXvOAmQdPc,0.822,0.791,1.0,-4.87,1.0,0.0414,0.00108,0.621,0.0567,0.21,130.059,audio_features,54SWk8zDQ02dBXvOAmQdPc,https://api.spotify.com/v1/tracks/54SWk8zDQ02dBXvOAmQdPc,https://api.spotify.com/v1/audio-analysis/54SWk8zDQ02dBXvOAmQdPc,448627.0,4.0,,8
Reuben And The Dark,Rolling Stone,36,spotify:track:5mdEgwhziXcN2eEdqWNx3Y,https://open.spotify.com/track/5mdEgwhziXcN2eEdqWNx3Y,0.574,0.652,4.0,-6.913,0.0,0.0322,0.0337,0.0557,0.134,0.245,125.939,audio_features,5mdEgwhziXcN2eEdqWNx3Y,https://api.spotify.com/v1/tracks/5mdEgwhziXcN2eEdqWNx3Y,https://api.spotify.com/v1/audio-analysis/5mdEgwhziXcN2eEdqWNx3Y,257453.0,4.0,,11
TRICOT MACHINE,Roman savon,18,spotify:track:7yZFuytqupKIqf9powLVqL,https://open.spotify.com/track/7yZFuytqupKIqf9powLVqL,0.497,0.413,4.0,-9.42,1.0,0.0422,0.957,0.0164,0.475,0.554,125.649,audio_features,7yZFuytqupKIqf9powLVqL,https://api.spotify.com/v1/tracks/7yZFuytqupKIqf9powLVqL,https://api.spotify.com/v1/audio-analysis/7yZFuytqupKIqf9powLVqL,155013.0,4.0,,2
Fly Golden Eagle,Ronnie,0,spotify:track:5b3GtJdz8kH8u5dT4D4mu6,https://open.spotify.com/track/5b3GtJdz8kH8u5dT4D4mu6,0.328,0.62,2.0,-8.83,1.0,0.0351,0.000704,0.91,0.0811,0.473,133.688,audio_features,5b3GtJdz8kH8u5dT4D4mu6,https://api.spotify.com/v1/tracks/5b3GtJdz8kH8u5dT4D4mu6,https://api.spotify.com/v1/audio-analysis/5b3GtJdz8kH8u5dT4D4mu6,257400.0,4.0,,17
Weval,Rooftop Paradise,0,spotify:track:436qPlFN8aoLMFnAUhPVyG,https://open.spotify.com/track/436qPlFN8aoLMFnAUhPVyG,0.592,0.868,7.0,-12.34,1.0,0.0496,0.298,0.634,0.0837,0.337,109.989,audio_features,436qPlFN8aoLMFnAUhPVyG,https://api.spotify.com/v1/tracks/436qPlFN8aoLMFnAUhPVyG,https://api.spotify.com/v1/audio-analysis/436qPlFN8aoLMFnAUhPVyG,249500.0,4.0,,17
WhoMadeWho,Rose,0,spotify:track:2Rok532eXG3Lm0Ru2c6CsM,https://open.spotify.com/track/2Rok532eXG3Lm0Ru2c6CsM,0.713,0.857,11.0,-8.177,1.0,0.0474,0.0852,0.849,0.186,0.199,123.98,audio_features,2Rok532eXG3Lm0Ru2c6CsM,https://api.spotify.com/v1/tracks/2Rok532eXG3Lm0Ru2c6CsM,https://api.spotify.com/v1/audio-analysis/2Rok532eXG3Lm0Ru2c6CsM,272000.0,4.0,,17
WhoMadeWho,Rose (Green Version),0,spotify:track:3OyJBNeBM9FZOYuQTfO8Hn,https://open.spotify.com/track/3OyJBNeBM9FZOYuQTfO8Hn,0.325,0.333,2.0,-10.127,1.0,0.0294,0.773,0.219,0.12,0.0672,112.943,audio_features,3OyJBNeBM9FZOYuQTfO8Hn,https://api.spotify.com/v1/tracks/3OyJBNeBM9FZOYuQTfO8Hn,https://api.spotify.com/v1/audio-analysis/3OyJBNeBM9FZOYuQTfO8Hn,196053.0,4.0,,0
Grupo Fantasma,Roto el Corazon,5,spotify:track:6t5o4uVmePFJPwkUamxtdi,https://open.spotify.com/track/6t5o4uVmePFJPwkUamxtdi,0.414,0.948,10.0,-4.16,0.0,0.247,0.241,7.12e-05,0.348,0.81,200.142,audio_features,6t5o4uVmePFJPwkUamxtdi,https://api.spotify.com/v1/tracks/6t5o4uVmePFJPwkUamxtdi,https://api.spotify.com/v1/audio-analysis/6t5o4uVmePFJPwkUamxtdi,218291.0,4.0,,3
